pid,born,battingStyle,bowlingStyle,playingRole
43265,"December 12, 1984, Rawalpindi, Punjab",Left-hand bat,Left-arm medium-fast,Bowler
8166,"September 13, 1969, Ferntree Gully, Victoria",Right-hand bat,Legbreak googly,Bowler
34274,"February 6, 1983, Kothamangalam, Kerala",Right-hand bat,Right-arm fast-medium,Bowler
8180,"June 17, 1981, Ipswich, Queensland",Right-hand bat,Right-arm fast-medium,Allrounder
317293,"January 4, 1984, Roopnagar, Punjab",Right-hand bat,Right-arm medium,Bowler
32966,"December 24, 1988, Aligarh, Uttar Pradesh",Left-hand bat,Legbreak,Allrounder
46248,"June 10, 1981, Vereeniging, Transvaal",Left-hand bat,Right-arm medium-fast,Bowling allrounder
31732,"December 21, 1987, Madras (now Chennai), Tamil Nadu",Right-hand bat,Right-arm medium-fast,Allrounder
32685,"October 27, 1984, Baroda, Gujarat",Left-hand bat,Left-arm medium-fast,Allrounder
49638,"September 7, 1984, Colombo",Right-hand bat,Right-arm fast-medium,Allrounder
35280,"December 6, 1985, Rae Bareli, Uttar Pradesh",Right-hand bat,Left-arm fast-medium,Bowler
32965,"July 12, 1983, Ikhar, Gujarat",Right-hand bat,Right-arm medium-fast,Bowler
35353,"September 4, 1982, Ahmedabad, Gujarat",Right-hand bat,Right-arm medium,Bowler
30102,"October 7, 1978, Shrirampur, Maharashtra",Right-hand bat,Left-arm fast-medium,Bowler
6565,"February 9, 1970, Dubbo, New South Wales",Right-hand bat,Right-arm fast-medium,Bowler
31820,"April 29, 1979, Delhi",Right-hand bat,Left-arm medium-fast,Bowler
43524,"April 14, 1984, Peshawar, North-Western Frontier Province",Right-hand bat,Right-arm fast-medium,Bowler
46774,"July 16, 1973, Port Elizabeth, Cape Province",Right-hand bat,Right-arm fast-medium,Allrounder
49636,"April 17, 1972, Kandy",Right-hand bat,Right-arm offbreak,Bowler
604550,"November 11, 1991, Kanpur",Right-hand bat,Right-arm medium,Bowler
32130,"September 5, 1986, Bhubaneswar, Orissa",Left-hand bat,Slow left-arm orthodox,Bowler
277955,"December 10, 1988, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm medium,Bowler
51439,"October 7, 1983, Santa Cruz, Trinidad",Right-hand bat,Right-arm medium-fast,Allrounder
30732,"October 2, 1986, Meerut, Uttar Pradesh",Right-hand bat,Right-arm medium,Bowler
26829,"September 27, 1981, Madras (now Chennai), Tamil Nadu",Right-hand bat,Right-arm medium-fast,Bowler
35281,"September 17, 1984, Chandigarh, Punjab, India",Right-hand bat,Right-arm medium-fast,
47492,"June 27, 1983, Phalaborwa",Right-hand bat,Right-arm fast,Bowler
48835,"July 19, 1979, Colombo",Right-hand bat,Right-arm fast-medium,Bowler
42639,"March 1, 1980, Khyber Agency",Right-hand bat,Legbreak googly,Allrounder
227712,"March 25, 1984, Medinipur, Calcutta (now Kolkata)",Right-hand bat,Right-arm medium-fast,Bowler
236779,"September 2, 1988, Delhi",Right-hand bat,Right-arm fast-medium,Bowler
26184,"December 4, 1977, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm fast,Bowler
32498,"November 17, 1982, Baroda, Gujarat",Right-hand bat,Right-arm offbreak,Allrounder
41415,"September 13, 1966, Lahore, Punjab",Right-hand bat,Right-arm offbreak,
29976,"October 23, 1983, Rohtak",Right-hand bat,Right-arm fast-medium,Allrounder
46592,"July 6, 1977, Mdingi, nr King William's Town, Cape Province",Right-hand bat,Right-arm fast,
30176,"October 17, 1970, Bangalore, Karnataka",Right-hand bat,Legbreak googly,
5702,"October 24, 1978, Townsville, Queensland",Right-hand bat,Right-arm medium,Allrounder
290629,"June 1, 1982",Right-hand bat,Right-arm medium,
28779,"July 8, 1972, Calcutta (now Kolkata), Bengal",Left-hand bat,Right-arm medium,
26907,"October 22, 1979, Delhi",Right-hand bat,Right-arm medium-fast,Allrounder
34019,"May 6, 1981, Howrah (now Haora), Bengal",Right-hand bat,Right-arm medium,Allrounder
53118,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados",Right-hand bat,Right-arm medium,Allrounder
42655,"August 13, 1975, Rawalpindi, Punjab",Right-hand bat,Right-arm fast,Bowler
35731,"February 12, 1984, Davanagere, Karnataka",Right-hand bat,Right-arm medium,Bowler
29264,"July 3, 1980, Jullundur (now Jalandhar), Punjab",Right-hand bat,Right-arm offbreak,Bowler
290713,"September 3, 1986, Neral, Maharashtra",Right-hand bat,Right-arm fast-medium,
50804,"January 27, 1974, Mattumagala",Left-hand bat,Left-arm fast-medium,
279545,"November 5, 1990, Rasiwas, Delhi",Right-hand bat,Left-arm medium,Bowler
6278,"November 8, 1976, Wollongong, New South Wales",Right-hand bat,Right-arm fast,Bowler
49209,"June 30, 1969, Matara",Left-hand bat,Slow left-arm orthodox,Allrounder
272949,"October 20, 1986, Paidikalva, Andhra Pradesh",Right-hand bat,Right-arm medium,
27225,"October 11, 1972, Bid, Maharashtra",Right-hand bat,Right-arm medium-fast,
45789,"October 16, 1975, Pinelands, Cape Town, Cape Province",Right-hand bat,Right-arm fast-medium,Allrounder
8002,"October 1, 1978, Albury, New South Wales",Right-hand bat,"Right-arm medium, Right-arm offbreak",Top-order batsman
38407,"July 10, 1975, Brisbane, Queensland, Australia",Right-hand bat,Right-arm medium,Allrounder
32391,"May 20, 1978, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm offbreak,Bowler
30049,"September 11, 1976, Madras (now Chennai), Tamil Nadu",Left-hand bat,Slow left-arm orthodox,Bowler
36084,"December 12, 1981, Chandigarh",Left-hand bat,Slow left-arm orthodox,Middle-order batsman
38062,"July 28, 1978, Palmerston North, Manawatu",Left-hand bat,Right-arm fast-medium,Allrounder
326020,"September 10, 1988,  Bikaner, Rajasthan",Right-hand bat,Slow left-arm orthodox,
35263,"October 20, 1978, Delhi",Right-hand bat,Right-arm offbreak,Top-order batsman
38710,"January 27, 1979, Auckland",Left-hand bat,Slow left-arm orthodox,Allrounder
16932,"October 30, 1977, Chiswick, Middlesex",Right-hand bat,Right-arm fast-medium,Allrounder
26206,"October 7, 1977, Bangalore, Karnataka",Right-hand bat,Right-arm medium-fast,Bowler
253802,"November 5, 1988, Delhi",Right-hand bat,Right-arm medium,Top-order batsman
51050,"May 13, 1978, Colombo",Left-hand bat,Left-arm fast-medium,
35805,"February 26, 1982, Visakhapatnam, Andhra Pradesh",Right-hand bat,Right-arm offbreak,Middle-order batsman
5766,"July 15, 1977, Mt Lawley, Perth, Western Australia",Right-hand bat,Right-arm offbreak,Allrounder
42657,"February 1, 1982, Sialkot, Punjab",Right-hand bat,Right-arm offbreak,Middle-order batsman
337916,"May 6, 1987, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm offbreak,Batsman
30220,"April 22, 1980, Sopra, Thana, Maharashtra",Right-hand bat,Right-arm medium,
30719,"December 16, 1983, Vijayawada",Right-hand bat,Right-arm medium-fast,
48472,"October 14, 1976, Kalutara",Right-hand bat,Right-arm offbreak,Allrounder
41434,"October 17, 1980, Sargodha, Punjab",Right-hand bat,Right-arm offbreak,Allrounder
268739,"March 11, 1985, Moratuwa",Right-hand bat,Right-arm offbreak,Bowler
235902,"November 7, 1983, Jaipur, Rajasthan",Right-hand bat,Legbreak,
327127,"April 26, 1989, Hyderabad, Andhra Pradesh",Right-hand bat,Right-arm medium,
29725,"June 6, 1970, Gadag, Karnataka",Left-hand bat,Slow left-arm orthodox,
33335,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",Left-hand bat,Right-arm offbreak,Middle-order batsman
237701,"September 5, 1987, Kakinada, Andhra Pradesh",Right-hand bat,Legbreak googly,Batsman
32091,"October 8, 1983, Secunderabad, Hyderabad",Left-hand bat,Right-arm medium,Allrounder
278482,"November 12, 1982, Mumbai",Right-hand bat,Legbreak,Bowler
6938,"April 30, 1977, Nambour, Queensland",Right-hand bat,Right-arm fast-medium,Allrounder
46569,"July 15, 1977, Germiston, Transvaal",Right-hand bat,Right-arm fast-medium,
35619,"December 3, 1981, Madras (now Chennai), Tamil Nadu",Left-hand bat,Slow left-arm orthodox,
5472,"June 13, 1982, Claremont, Tasmania",Right-hand bat,Right-arm fast-medium,Bowler
31041,"September 20, 1981, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm medium,
277237,"December 2, 1989, Azamgarh",Left-hand bat,Slow left-arm orthodox,Allrounder
234675,"December 6, 1988, Navagam-Khed, Saurashtra",Left-hand bat,Slow left-arm orthodox,Allrounder
32973,"May 6, 1985, Sultanpur, Uttar Pradesh",Right-hand bat,Right-arm medium-fast,Bowler
307448,"April 23, 1985, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm offbreak,
28997,"December 24, 1986, Ludhiana, Punjab",Left-hand bat,Right-arm offbreak,
56283,"June 15, 1982, Khulna",Left-hand bat,Slow left-arm orthodox,Bowler
7702,"June 9, 1975, Birmingham, Warwickshire, England",Right-hand bat,"Right-arm medium, Right-arm offbreak",Allrounder
209457,"February 24, 1987, Kandy",Right-hand bat,Right-arm medium,Middle-order batsman
50431,"December 14, 1979, Panadura",Right-hand bat,Legbreak,Batsman
8291,"August 18, 1983, Bairnsdale, Victoria",Right-hand bat,Legbreak googly,Middle-order batsman
49758,"August 28, 1983, Galle",Right-hand bat,Right-arm fast,Bowler
224367,"January 17, 1983, Johannesburg, Transvaal",Left-hand bat,Left-arm fast-medium,Bowler
29655,"November 27, 1980, Vasco da Gama, Goa",Left-hand bat,Slow left-arm orthodox,Bowler
26789,"June 21, 1981, Bidar, Karnataka",Right-hand bat,Right-arm medium-fast,Bowler
47850,"December 31, 1984, Johannesburg, Transvaal",Right-hand bat,Slow left-arm orthodox,Allrounder
5674,"December 29, 1974, Sandringham, Victoria",Right-hand bat,Right-arm offbreak,Top-order batsman
391121,"March 10, 1991, Azamgarh, Uttar Pradesh",Left-hand bat,Left-arm medium-fast,Bowler
5779,"October 11, 1979, Sydney, New South Wales",Right-hand bat,Right-arm fast,Bowler
317784,"September 17, 1987, Ghaziabad, Uttar Pradesh",Right-hand bat,Right-arm medium,Bowler
34281,"December 15, 1983, Hyderabad, Andhra Pradesh",Right-hand bat,Right-arm offbreak,Batsman
317709,"November 19, 1987, Hyderabad, Andhra Pradesh",Right-hand bat,Right-arm fast-medium,
44932,"April 14, 1984, Strandfontein, Cape Town, Cape Province",Left-hand bat,Right-arm offbreak,Batting allrounder
19296,"June 27, 1980, Pietermaritzburg, Natal",Right-hand bat,Right-arm offbreak,Top-order batsman
44938,"November 8, 1981, Port Elizabeth, Cape Province",Right-hand bat,Right-arm fast-medium,
45963,"December 17, 1974, Stellenbosch, Cape Province",Right-hand bat,Right-arm fast-medium,Bowler
44149,"May 2, 1982, Johannesburg, Transvaal",Right-hand bat,Right-arm offbreak,Allrounder
38373,"August 6, 1984, Masterton, Wellington",Left-hand bat,Right-arm medium,Allrounder
5605,"March 1, 1974, Ballarat, Victoria",Right-hand bat,Right-arm fast-medium,Bowler
49677,"March 1, 1981, Balapitiya",Left-hand bat,Left-arm fast-medium,Bowler
391128,"October 9, 1987, Jodhpur, Rajasthan",Right-hand bat,Right-arm medium,Bowler
26421,"September 17, 1986, Madras (now Chennai), Tamil Nadu",Right-hand bat,Right-arm offbreak,Bowling allrounder
32093,"March 29, 1979, Delhi",Right-hand bat,Legbreak,
269170,"December 20, 1988, Kodagu, Karnataka",Right-hand bat,Slow left-arm orthodox,
31738,"May 9, 1983, Vishakapatnam (Andhra)",Right-hand bat,Right-arm medium,Bowler
5961,"February 1, 1987, Funchal, Portugal",Right-hand bat,Right-arm fast-medium,Allrounder
376324,"March 2, 1988",Right-hand bat,Right-arm medium,Bowler
12856,"December 6, 1977, Preston, Lancashire",Right-hand bat,Right-arm fast-medium,Allrounder
277916,"June 6, 1988, Ashwi-KD, Maharashtra",Right-hand bat,Right-arm medium,Top-order batsman
4541,"November 17, 1975, Nambour, Queensland",Left-hand bat,Left-arm medium,Allrounder
45434,"August 1, 1974, Durban, Natal",Right-hand bat,Right-arm fast-medium,Bowler
17991,"January 6, 1980, Colchester, Essex",Right-hand bat,Right-arm medium,
51880,"September 21, 1979, Kingston, Jamaica",Left-hand bat,Right-arm offbreak,Allrounder
10582,"May 4, 1985, Forest Gate, London",Right-hand bat,Right-arm medium,Middle-order batsman
46538,"October 6, 1984, Vereeniging, Transvaal",Left-hand bat,Right-arm fast,Bowler
230593,"March 3, 1987, Jaipur Road, Maharashtra",Right-hand bat,Legbreak googly,Allrounder
35320,"April 24, 1973, Bombay (now Mumbai), Maharashtra",Right-hand bat,"Right-arm offbreak, Legbreak googly",Top-order batsman
310958,"October 25, 1989, Bangalore",Right-hand bat,Right-arm medium,Bowler
376102,"September 4, 1989, Mohali, Punjab",Right-hand bat,Right-arm medium,Bowler
279460,"June 12, 1985",Left-hand bat,Left-arm medium,
27572,"February 27, 1979, Calcutta (now Kolkata), Bengal",Right-hand bat,Right-arm fast-medium,
38699,"March 8, 1984, Lower Hutt, Wellington",Right-hand bat,Right-arm offbreak,Middle-order batsman
49764,"June 2, 1987, Colombo",Right-hand bat,Right-arm medium,Allrounder
56007,"October 5, 1983, Norail, Jessore",Right-hand bat,Right-arm fast-medium,Bowler
230559,"May 12, 1987, Tacarigua, Trinidad",Right-hand bat,Right-arm medium-fast,Allrounder
4508,"July 24, 1981, Baulkham Hills, Sydney, New South Wales",Left-hand bat,Left-arm fast-medium,Bowler
8076,"February 22, 1983, Bedford Park, Adelaide, South Australia",Right-hand bat,Right-arm fast,Bowler
36326,"June 7, 1975, Christchurch, Canterbury",Right-hand bat,Right-arm fast,Bowler
6981,"May 16, 1976, Mount Waverley, Melbourne, Victoria",Right-hand bat,Left-arm fast,Bowler
376116,"October 25, 1987, Nagpur, Maharashtra",Right-hand bat,Right-arm fast,Bowler
223642,"July 24, 1985, Potchefstroom",Right-hand bat,Right-arm medium-fast,Bowler
34245,"September 22, 1981, Allahabad, Uttar Pradesh",Right-hand bat,Left-arm fast-medium,Bowler
10772,"May 26, 1976, Shotley Bridge, Co Durham",Right-hand bat,Right-arm medium,Allrounder
6553,"June 5, 1981, Wodonga, Victoria",Right-hand bat,Right-arm fast-medium,Allrounder
236694,"October 9, 1987, Pimpri, Maharashtra",Right-hand bat,Right-arm medium-fast,Bowler
32084,"April 16, 1982, Chirao, Karnal, Haryana",Left-hand bat,Right-arm medium,Allrounder
46393,"February 9, 1983, Kimberley, Cape Province",Left-hand bat,Right-arm medium-fast,Allrounder
390484,"October 18, 1991, Porbandar",Right-hand bat,Left-arm medium,Bowler
317292,"July 10, 1986, Patiala",Right-hand bat,Legbreak,Bowler
45797,"October 2, 1977, Queenstown, Cape Province",Right-hand bat,Right-arm fast-medium,
26490,"January 1, 1990, Allahabad, Uttar Pradesh",Left-hand bat,Slow left-arm orthodox,Bowler
26236,"December 3, 1982, Ludhiana, Punjab",Right-hand bat,Right-arm medium-fast,Bowler
35928,"September 28, 1983, Amritsar, Punjab",Left-hand bat,Slow left-arm orthodox,Allrounder
272450,"October 20, 1991, Attadale, Perth",Right-hand bat,Right-arm medium,Allrounder
33870,"January 14, 1981, Trichy (now Tiruchchirappali), Tamil Nadu",Right-hand bat,Right-arm medium,Allrounder
35586,"November 21, 1981, Chandigarh",Left-hand bat,Left-arm medium,
12440,"October 6, 1978, Nottingham",Right-hand bat,Slow left-arm orthodox,Bowler
35565,"November 14, 1985, Howrah, Bengal",Right-hand bat,Legbreak googly,Batsman
279552,"October 9, 1988, Chikhli",Left-hand bat,Left-arm medium-fast,Allrounder
5334,"November 17, 1986, Colac, Victoria",Right-hand bat,Slow left-arm orthodox,Top-order batsman
290632,"April 8, 1984, Bangalore, Karnataka",Left-hand bat,Left-arm medium-fast,Bowler
56143,"March 24, 1987, Magura, Jessore",Left-hand bat,Slow left-arm orthodox,Allrounder
4864,"May 4, 1983, Camperdown, Sydney, New South Wales",Right-hand bat,Right-arm fast-medium,Allrounder
47569,"February 9, 1977, Cape Town, Cape Province",Right-hand bat,Right-arm fast-medium,Bowler
265564,"July 30, 1989, Port Elizabeth, Cape Province",Left-hand bat,Left-arm medium-fast,Bowler
433410,"May 13, 1990, Vadodara, Gujarat",Left-hand bat,Slow left-arm orthodox,Bowler
35630,"December 7, 1983, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm medium,Batsman
50438,"January 30, 1985, Matara",Right-hand bat,Right-arm offbreak,Bowler
28846,"October 16, 1985",Right-hand bat,Right-arm medium,Allrounder
35261,"June 3, 1983, Madras (now Chennai), Tamil Nadu",Left-hand bat,Slow left-arm orthodox,Bowler
31872,"August 12, 1989, Bokaro, Bihar",Right-hand bat,Slow left-arm orthodox,Bowler
232364,"December 11, 1988, Whangarei, Northland",Right-hand bat,Right-arm medium-fast,Bowler
279562,"May 30, 1985, Thanner Mukham",Right-hand bat,Left-arm medium,
326016,"February 5, 1990, Meerut, Uttar Pradesh",Right-hand bat,Right-arm medium,Bowler
34264,"October 20, 1981, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm medium,Bowler
37004,"November 7, 1980, Wellington",Left-hand bat,Left-arm medium,Allrounder
26797,"April 17, 1987, Nagpur, Maharashtra",Right-hand bat,Right-arm medium,Bowler
47693,"January 10, 1978, Newcastle, Natal",Right-hand bat,Right-arm medium-fast,Allrounder
353669,"November 19, 1985, Thiruvananthapuram",Right-hand bat,Right-arm offbreak,Allrounder
360911,"October 29, 1989, Singhbhum, Bihar (now Jharkhand)",Right-hand bat,Right-arm fast,Bowler
233514,"April 3, 1989, Colombo",Left-hand bat,Right-arm medium-fast,Allrounder
371150,"October 29, 1990, Udaipur, Rajasthan",Left-hand bat,Slow left-arm orthodox,Allrounder
270484,"April 29, 1990, Launceston, Tasmania",Right-hand bat,Left-arm fast-medium,Bowling allrounder
28235,"December 5, 1985, Delhi",Left-hand bat,Right-arm offbreak,Opening batsman
279862,"October 27, 1988, Nanded",Right-hand bat,Right-arm medium,Allrounder
49535,"July 22, 1982, Nittambuwa",Right-hand bat,Right-arm fast-medium,Bowler
317786,"January 6, 1990, Wazirabad, Delhi",Right-hand bat,Right-arm offbreak,Allrounder
33757,"September 18, 1984, Gurgaon, Haryana",Right-hand bat,Right-arm medium-fast,Bowler
337913,"October 28, 1985, Bombay (now Mumbai), Maharashtra",Left-hand bat,Slow left-arm orthodox,Batsman
230558,"May 26, 1988, Arima, Trinidad & Tobago",Left-hand bat,Right-arm offbreak,Bowler
323131,"July 19, 1986, Delhi, India",Right-hand bat,Right-arm medium,Bowler
5941,"March 15, 1983, Ulverstone, Tasmania",Right-hand bat,Right-arm fast-medium,Bowler
39024,"February 28, 1975, Rawalpindi, Punjab",Right-hand bat,Right-arm fast-medium,
5681,"February 6, 1971, Narrogin, Western Australia",Left-hand bat,Slow left-arm chinaman,Allrounder
371814,"February 16, 1989, Trinidad",Right-hand bat,Right-arm medium,Allrounder
389605,"February 24, 1991, Secunderabad",Right-hand bat,Right-arm medium,Allrounder
528967,"May 3, 1992, Nalanda, Bihar",Right-hand bat,Right-arm medium,
390481,"November 23, 1990, Sanand, Gujarat",Right-hand bat,Right-arm medium,Bowler
52983,"February 5, 1981, Kingston, Jamaica",Right-hand bat,Right-arm offbreak,Top-order batsman
530773,"January 6, 1993, Delhi",Left-hand bat,Slow left-arm orthodox,Bowler
27783,"December 5, 1983, Faridabad, Haryana",Right-hand bat,Right-arm offbreak,Allrounder
422992,"April 20, 1991, Gwalior, Madhya Pradesh",Left-hand bat,Slow left-arm orthodox,Bowler
27223,"June 3, 1984, Bangalore, Karnataka",Right-hand bat,Right-arm medium,Allrounder
362541,"September 28, 1990, Tauranga, Bay of Plenty",Right-hand bat,Right-arm fast-medium,Bowler
46750,"August 4, 1979, Port Elizabeth, Cape Province",Left-hand bat,Slow left-arm orthodox,Bowler
393279,"October 13, 1990, Tzaneen, Limpopo",Right-hand bat,Right-arm fast,Bowler
4578,"April 2, 1981, Liverpool, New South Wales",Right-hand bat,Slow left-arm orthodox,Middle-order batsman
29702,"December 1, 1982, Calcutta (now Kolkata), Bengal",Right-hand bat,Right-arm offbreak,Batsman
325026,"October 14, 1988, Kew, Melbourne, Victoria",Right-hand bat,Right-arm offbreak,Batting allrounder
398506,"December 18, 1991, Jalandhar, Punjab",Right-hand bat,Right-arm medium,Allrounder
47660,"June 30, 1980, Port Elizabeth, Cape Province",Right-hand bat,Right-arm medium-fast,Allrounder
6903,"February 20, 1983, Melbourne, Victoria",Right-hand bat,Right-arm fast-medium,Bowler
276298,"April 29, 1988, Jamaica",Right-hand bat,Right-arm fast,Allrounder
376109,"February 11, 1991, Hyderabad",Right-hand bat,Legbreak,
6033,"November 2, 1981, Townsville, Queensland",Left-hand bat,Left-arm fast,Bowler
537119,"September 18, 1988, Ballabhgarh, Haryana",Right-hand bat,Right-arm medium,Bowler
439952,"April 30, 1987, Pretoria, Transvaal",Right-hand bat,Right-arm fast-medium,Bowling allrounder
52912,"October 15, 1984, Preysal, Trinidad",Left-hand bat,Right-arm fast-medium,Bowler
30288,"October 23, 1987, Meerut, Uttar Pradesh",Left-hand bat,Legbreak googly,Bowler
273439,"February 9, 1985, Colombo",Right-hand bat,Right-arm offbreak,Bowler
438362,"May 18, 1993, Patiala, Punjab",Right-hand bat,Right-arm medium,Bowler
53115,"December 20, 1983, Micoud, St Lucia",Right-hand bat,Right-arm medium-fast,Allrounder
326017,"May 19, 1990, Pathankot, Punjab",Right-hand bat,Right-arm medium,Bowler
228430,"November 5, 1988, Guwahati, Assam",Right-hand bat,Right-arm medium-fast,Bowler
390547,"August 28, 1990, Jharkhand",Right-hand bat,Right-arm medium,
625383,"December 6, 1993, Ahmedabad",Right-hand bat,Right-arm fast,Bowler
290727,"February 19, 1990, Mandi, Himachal Pradesh",Right-hand bat,Right-arm medium-fast,Allrounder
391485,"November 5, 1991, Barbados",Right-hand bat,Right-arm medium-fast,Bowling allrounder
272262,"February 12, 1991, Eudunda, South Australia",Right-hand bat,Right-arm fast-medium,Bowler
23460,"March 7, 1985, Grantham, Lincolnshire",Right-hand bat,Right-arm medium-fast,Allrounder
5390,"November 14, 1971, Bellingen, New South Wales",Left-hand bat,Right-arm offbreak,Wicketkeeper batsman
378496,"February 13, 1989, Bijbehara, Jammu and Kashmir",Right-hand bat,Right-arm offbreak,Bowling allrounder
452044,"October 13, 1993, Kakinada, Andhra Pradesh",Right-hand bat,Right-arm offbreak,Batting allrounder
431213,"October 15, 1989, Paudi, Uttaranchal",Right-hand bat,Left-arm medium,Bowler
49700,"January 15, 1983, Colombo",Left-hand bat,Legbreak,Allrounder
261354,"October 11, 1987, Osborne Park, Western Australia",Right-hand bat,Right-arm fast,Bowler
587152,"October 8, 1971, Bombay (now Mumbai), Maharashtra",Right-hand bat,Legbreak,Bowler
422847,"September 7, 1992, Mumbai",Left-hand bat,Slow left-arm orthodox,
481896,"September 3, 1990, Amroha, Uttar Pradesh",Right-hand bat,Right-arm fast,Bowler
554691,"January 20, 1994, Anand, Gujarat",Left-hand bat,Slow left-arm orthodox,Bowling allrounder
