pid,born,battingStyle,bowlingStyle,playingRole
311592,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",Left-hand bat,Left-arm fast,Bowler
430246,"July 23, 1990, Jind, Haryana",Right-hand bat,Legbreak googly,Bowler
322535,"November 8, 1987, Chandigarh, Punjab",Right-hand bat,Legbreak googly,
40618,"March 27, 1979, Lahore, Punjab",Right-hand bat,Legbreak googly,Bowler
447439,"August 15, 1989",Right-hand bat,Right-arm medium,Bowler
344580,"September 4, 1993, Banglaore, Karnataka",Right-hand bat,Legbreak,Allrounder
277662,"December 13, 1990, Christchurch, Canterbury",Left-hand bat,Left-arm medium-fast,Batting allrounder
379927,"June 8, 1990, Louis Leipoldt Hospital, Bellville, Cape Town",Left-hand bat,Left-arm fast-medium,Bowler
717201,"September 9, 1993, Delhi",Right-hand bat,Right-arm offbreak,
314622,"December 20, 1984, Clarendon, Jamaica",Left-hand bat,Left-arm medium,Bowler
423838,"May 20, 1993, Sihi, Haryana",Left-hand bat,Legbreak,
51433,"March 9, 1981, Barrackpore, Trinidad",Right-hand bat,Legbreak,Bowler
489889,"May 8, 1993, Westmead, Sydney",Right-hand bat,Right-arm fast,Bowler
230371,"January 30, 1987, Sunnybank, Brisbane, Queensland",Right-hand bat,Right-arm fast-medium,Allrounder
228622,"November 4, 1985, Penrith, New South Wales",Right-hand bat,Right-arm fast-medium,Allrounder
355269,"September 17, 1990, Auckland",Left-hand bat,Right-arm medium-fast,Batting allrounder
53116,"January 25, 1985, Port of Spain, Trinidad",Right-hand bat,Right-arm medium-fast,Top-order batsman
446507,"September 14, 1990, Mumbai, Maharashtra",Right-hand bat,"Right-arm medium, Right-arm offbreak",Batsman
237095,"April 1, 1984, Chennai",Right-hand bat,Right-arm offbreak,Opening batsman
319439,"June 11, 1986, Hastings, Hawke's Bay",Left-hand bat,Left-arm fast-medium,Bowler
221140,"May 18, 1985, Roodepoort",Right-hand bat,Right-arm medium-fast,Allrounder
527663,"January 16, 1994, Mysore",Left-hand bat,Slow left-arm orthodox,Bowler
277912,"July 22, 1989, Rotorua",Right-hand bat,Left-arm fast-medium,Bowler
528985,"March 9, 1981, Pune, Maharashtra",Right-hand bat,Right-arm medium,
537124,"June 29, 1990, Muktsar, Punjab",Right-hand bat,Right-arm offbreak,Middle-order batsman
447587,"January 22, 1990, Delhi",Right-hand bat,Right-arm offbreak,Bowler
497121,"April 19, 1995, Rohtak",Right-hand bat,Right-arm offbreak,Allrounder
424219,"February 2, 1992, Belgaum, Karnataka",Right-hand bat,Right-arm medium,
499660,"June 14, 1993, Blacktown, New South Wales",Left-hand bat,Right-arm fast-medium,Bowler
625371,"October 11, 1993, Choryasi, Gujarat",Right-hand bat,Right-arm medium-fast,Allrounder
475281,"October 16, 1991, Palghar, Maharashtra",Right-hand bat,Right-arm medium,Bowler
777537,"April 13, 1994, Bangalore, Karnataka",Right-hand bat,Legbreak,Bowler
398666,"February 29, 1992, Windsor, New South Wales",Right-hand bat,Right-arm fast-medium,Bowler
537126,"December 10, 1992, Sirsa",Left-hand bat,Left-arm medium,Bowler
330902,"September 6, 1995, Satkhira",Left-hand bat,Left-arm fast-medium,Bowler
379504,"March 31, 1992, Shellharbour, New South Wales",Right-hand bat,Legbreak googly,Bowler
288992,"October 4, 1988, Barbados",Right-hand bat,Right-arm fast-medium,Bowler
325012,"August 16, 1989, Perth",Right-hand bat,Right-arm medium,Middle-order batsman
457249,"July 18, 1988, Barbados",Right-hand bat,Right-arm fast-medium,Allrounder
528067,"September 8, 1990, Chennai, Tamil Nadu",Right-hand bat,Legbreak googly,Bowler
471342,"March 24, 1991, Ahmedabad, Gujarat",Left-hand bat,Slow left-arm orthodox,Allrounder
559235,"December 14, 1994, Kanpur, Uttar Pradesh",Left-hand bat,Slow left-arm chinaman,Bowler
917213,"September 7, 1995",Right-hand bat,Slow left-arm chinaman,Bowler
34155,"August 21, 1985, Bhiwani",Right-hand bat,Legbreak googly,Allrounder
591650,"December 4, 1993, Kanpur",Right-hand bat,Right-arm medium,Bowler
379145,"February 18, 1990, Johannesburg, Gauteng",Right-hand bat,Slow left-arm chinaman,Bowler
432783,"December 18, 1988, Thodupuzha, Kerala",Left-hand bat,Right-arm offbreak,Batsman
446548,"April 11, 1989, Melbourne, Australia",Right-hand bat,Right-arm fast-medium,Bowler
297583,"June 18, 1987, Empangeni, KwaZulu-Natal",Right-hand bat,Right-arm fast-medium,Bowler
450860,"April 13, 1992, Palmerston North",Right-hand bat,Right-arm fast,Bowler
604527,"December 27, 1993, Delhi",Left-hand bat,Right-arm offbreak,Middle-order batsman
277906,"August 8, 1990, Tauranga",Right-hand bat,Right-arm offbreak,Top-order batsman
232359,"March 11, 1987, Durban",Left-hand bat,Right-arm medium-fast,Middle-order batsman
447261,"August 7, 1992, Agra, Uttar Pradesh",Right-hand bat,Right-arm medium,Bowler
232292,"January 22, 1991, Rae Bareilly, Uttar Pradesh",Right-hand bat,Slow left-arm orthodox,Bowler
793463,"September 20, 1998, Nangarhar",Right-hand bat,Legbreak googly,Bowler
247235,"March 2, 1989, Birmingham, Warwickshire",Right-hand bat,Right-arm fast-medium,Bowler
459508,"December 12, 1986, Perth, Western Australia",Right-hand bat,Right-arm medium-fast,Bowler
311158,"June 4, 1991, Christchurch, Canterbury, New Zealand",Left-hand bat,Right-arm fast-medium,Allrounder
732291,"September 11, 1993, Ernakulam, Kerala",Right-hand bat,Right-arm fast-medium,Bowler
940973,"March 13, 1994, Hyderabad",Right-hand bat,Right-arm medium-fast,Bowler
719715,"October 5, 1999, Chennai, Tamil Nadu",Left-hand bat,Right-arm offbreak,Bowling allrounder
550215,"May 25, 1995, Johannesburg",Left-hand bat,Right-arm fast,Bowler
527299,"January 28, 1990, Bikaner, Rajasthan",Right-hand bat,Left-arm medium,
459257,"August 12, 1992, Dewsbury, Yorkshire",Right-hand bat,Left-arm fast,
55395,"July 22, 1986, Harare",Right-hand bat,Right-arm medium-fast,Allrounder
493773,"June 13, 1991, Auckland",Right-hand bat,Right-arm fast,Bowler
1083128,"August 2, 1993",Right-hand bat,Legbreak,Allrounder
1064812,"August 4, 1999, Bharaatpur, Rajasthan",Right-hand bat,Legbreak googly,
533042,"November 4, 1994, Hervey Bay, Australia",Left-hand bat,Right-arm fast,Bowler
802575,"May 27, 1991, Salem",Left-hand bat,Left-arm medium,Bowler
530011,"December 29, 1993, Adelaide, South Australia",Left-hand bat,Right-arm offbreak,Middle-order batsman
853259,"September 8, 1995, Jaipur",Right-hand bat,Right-arm medium,Bowler
694211,"December 13, 1996, Indore, Madhya Pradesh",Right-hand bat,Right-arm medium-fast,
1135336,"November 25, 1993, Muzaffar Nagar, Uttar Pradesh",Right-hand bat,Right-arm offbreak,
506612,"December 14, 1991, Christchurch, Canterbury",Right-hand bat,Right-arm fast-medium,Bowler
1082859,"February 1, 1996, Pondicherry",Right-hand bat,Legbreak googly,
446763,"March 2, 1991, Ranchi",Right-hand bat,Right-arm medium,
1081442,"November 11, 1997, Bathinda, Punjab",Right-hand bat,Legbreak,Bowler
669855,"April 1, 1995, Bridgetown, Barbados",Right-hand bat,Right-arm fast-medium,
974109,"March 28, 2001, Khost",Right-hand bat,Right-arm offbreak,Bowler
542023,"March 29, 1996, Durban, Natal",Right-hand bat,Right-arm fast,Bowler
424377,"October 20, 1988, Bangalore, Karnataka",Right-hand bat,Right-arm offbreak,Bowling allrounder
917159,"February 19, 1996, Bangalore, Karnataka",Right-hand bat,Right-arm medium-fast,Bowler
315623,"October 3, 1982, Box Hill, Victoria",Right-hand bat,Right-arm fast-medium,Bowler
550235,"March 12, 1995, Cape Town, Cape Province",Right-hand bat,Right-arm fast-medium,Bowling allrounder
559066,"October 31, 1992, Ludhiana, India",Right-hand bat,Legbreak,Bowler
960361,"August 2, 2000, Syangja",Right-hand bat,Legbreak googly,
1079848,"November 26, 1998, Noida, Uttar Pradesh",Right-hand bat,Right-arm fast-medium,
19264,"April 6, 1985, Middlesbrough, Yorkshire",Right-hand bat,Right-arm fast,Bowler
8917,"June 18, 1987, Birmingham",Left-hand bat,Right-arm offbreak,Batting allrounder
1083030,"July 24, 1993, Edavanna,Malappuram",Right-hand bat,Right-arm medium,
308251,"February 28, 1990, Northampton",Left-hand bat,Left-arm fast-medium,Allrounder
1083033,"March 13, 1992, Churi Ajitgarh Jhunjhunu District, Rajasthan",Left-hand bat,Left-arm medium-fast,Bowler
230554,"December 21, 1986, Durants Village, St James, Barbados",Right-hand bat,Right-arm fast-medium,Bowler
308798,"August 9, 1990, Katherine, Northern Territory",Left-hand bat,Slow left-arm chinaman,Opening batsman
853265,"November 16, 1999, Nagaur, Rajasthan",Left-hand bat,Slow left-arm orthodox,Allrounder
545467,"December 29, 1989, Lusaka, Zambia",Right-hand bat,Right-arm medium,Bowler
574178,"October 4, 1993, Panadura",Left-hand bat,Right-arm offbreak,Allrounder
351588,"January 11, 1990, Ashington, Northumberland",Right-hand bat,Right-arm fast,Bowler
942645,"December 5, 1997, Tonk, Rajasthan",Right-hand bat,Left-arm medium,Bowler
700167,"November 23, 1992, Karnal, Haryana",Right-hand bat,Right-arm fast,Bowler
662973,"June 3, 1998, Northampton",Left-hand bat,Left-arm medium-fast,Allrounder
677081,"February 21, 1998, Guyana",Right-hand bat,Right-arm fast-medium,
244639,"October 25, 1986, Nottingham",Right-hand bat,Left-arm fast-medium,Bowler
375126,"March 6, 1989, Witbank",Right-hand bat,Right-arm fast,Bowler
670031,"November 20, 1996, Antigua",Right-hand bat,Right-arm fast-medium,Bowler
914567,"February 18, 1997",Left-hand bat,Right-arm medium-fast,Bowler
272477,"April 20, 1990, Camden, New South Wales",Right-hand bat,Left-arm fast-medium,Bowler
502714,"February 5, 1992, Hamilton",Left-hand bat,Slow left-arm orthodox,Bowling allrounder
1057391,"December 27, 1993",Right-hand bat,Right-arm offbreak,
592735,"April 4, 1991, Thrissur, Kerala",Right-hand bat,Right-arm medium,
1079434,"November 10, 2001, Guwahati, Assam",Right-hand bat,Legbreak,
539548,"January 3, 1992, Hamilton",Right-hand bat,Right-arm fast-medium,Bowling allrounder
1079839,"November 30, 1998, Saraikela Kharswan, Jharkhand",Left-hand bat,Slow left-arm orthodox,
914541,"August 15, 1998",Right-hand bat,Right-arm fast-medium,
1070183,"September 4, 2000, Amritsar, Punjab",Left-hand bat,Slow left-arm orthodox,Bowler
1121579,"February 20, 1998, Duggirala, Andra",Left-hand bat,Left-arm medium,
714451,"June 26, 1993, Mumbai",Left-hand bat,Right-arm medium,Allrounder
1168641,"September 16, 1995, Moga, Punjab",Left-hand bat,Slow left-arm orthodox,
1161489,"April 5, 2001",Right-hand bat,Right-arm medium,
403902,"August 4, 1993, Barrow-in-Furness, Cumberland",Right-hand bat,Legbreak,
6683,"July 9, 1983, Narrogin, Western Australia",Left-hand bat,Slow left-arm orthodox,Top-order batsman
28763,"October 14, 1981, Delhi",Left-hand bat,Legbreak,Top-order batsman
47270,"February 1, 1981, Johannesburg, Transvaal",Left-hand bat,Right-arm offbreak,Opening batsman
28081,"July 7, 1981, Ranchi, Bihar (now Jharkhand)",Right-hand bat,Right-arm medium,Wicketkeeper batsman
28114,"January 11, 1973, Indore, Madhya Pradesh",Right-hand bat,Right-arm offbreak,Top-order batsman
50710,"October 27, 1977, Matale",Left-hand bat,Right-arm offbreak,Wicketkeeper batsman
35582,"November 11, 1985, Coorg, Karnataka",Right-hand bat,Right-arm medium,Batsman
26782,"March 29, 1984, Porvorim, Goa, India",Right-hand bat,Right-arm offbreak,Batsman
32242,"March 9, 1985, Ahmedabad, Gujarat",Left-hand bat,,Wicketkeeper batsman
44111,"December 3, 1976, East London, Cape Province",Right-hand bat,Right-arm medium,Wicketkeeper batsman
37000,"April 1, 1973, Christchurch, Canterbury",Left-hand bat,,Top-order batsman
42683,"October 7, 1984, Lahore, Punjab",Left-hand bat,Right-arm offbreak,Batsman
26806,"August 30, 1980, Madras (now Chennai), Tamil Nadu",Right-hand bat,Right-arm offbreak,Middle-order batsman
5616,"October 29, 1971, Kingaroy, Queensland",Left-hand bat,Right-arm medium,Opening batsman
37737,"September 27, 1981, Dunedin, Otago",Right-hand bat,"Right-arm medium, Right-arm offbreak",Wicketkeeper batsman
49289,"May 27, 1977, Colombo",Right-hand bat,Right-arm medium,Batsman
29990,"December 1, 1980, Allahabad, Uttar Pradesh",Right-hand bat,Right-arm offbreak,Batsman
5939,"May 27, 1975, Mt Lawley, Perth, Western Australia",Left-hand bat,Right-arm medium,Middle-order batsman
45224,"February 23, 1974, Green Point, Cape Town, Cape Province",Right-hand bat,Right-arm bowler,
279810,"October 24, 1984, Shaktigarh",Right-hand bat,,Wicketkeeper batsman
30750,"November 1, 1974, Hyderabad, Andhra Pradesh",Right-hand bat,Right-arm offbreak,Top-order batsman
232284,"September 28, 1984, Bentley, Perth, Western Australia",Left-hand bat,Right-arm offbreak,Batsman
30045,"June 1, 1985, Madras (now Chennai), Tamil Nadu",Right-hand bat,,Wicketkeeper batsman
41028,"January 13, 1982, Lahore, Punjab",Right-hand bat,,Wicketkeeper batsman
41378,"May 28, 1974, Mianwali, Punjab",Right-hand bat,Legbreak,Middle-order batsman
29646,"February 16, 1978, Bombay (now Mumbai), Maharashtra",Right-hand bat,Right-arm offbreak,
328163,"September 22, 1986, Siliguri, Bengal",Right-hand bat,Legbreak googly,
32240,"March 26, 1981, Ahmedabad, Gujarat",Left-hand bat,,
6128,"August 21, 1975, Middle Swan, Western Australia",Left-hand bat,Slow left-arm chinaman,Batsman
44936,"February 17, 1984, Pretoria",Right-hand bat,Right-arm medium,Wicketkeeper batsman
302579,"May 18, 1989, Calcutta (now Kolkata), Bengal",Left-hand bat,,Wicketkeeper batsman
52969,"June 23, 1980, Wakenaam Island, Essequibo, Guyana",Right-hand bat,Legbreak,Batsman
36110,"December 23, 1981, Palghat (now Palakkad), Kerala",Right-hand bat,Right-arm offbreak,Batsman
27639,"September 19, 1977, Agra, Uttar Pradesh",Right-hand bat,"Right-arm medium, Right-arm offbreak",Batsman
7133,"December 19, 1974, Launceston, Tasmania",Right-hand bat,Right-arm medium,Top-order batsman
7502,"April 23, 1981, Dannevirke, Manawatu, New Zealand",Right-hand bat,,Wicketkeeper batsman
33440,"October 25, 1985, Faridabad",Right-hand bat,,
34282,"November 3, 1987, Baroda, Gujarat",Right-hand bat,,Wicketkeeper batsman
55805,"May 14, 1983, Harare",Right-hand bat,Right-arm medium,Wicketkeeper batsman
35390,"December 30, 1989, Jamshedpur, Bihar",Left-hand bat,,Top-order batsman
51469,"August 16, 1974, Unity Village, East Coast, Demerara, Guyana",Left-hand bat,Legbreak,Batsman
26291,"January 18, 1975, Bangalore, Karnataka",Right-hand bat,Right-arm offbreak,
290630,"September 10, 1989, Nainital, Uttaranchal",Right-hand bat,Right-arm medium,Top-order batsman
32102,"July 20, 1983, Ujjain, Madhya Pradesh",Right-hand bat,,Wicketkeeper batsman
228943,"November 10, 1987, Mohali, Punjab, India",Right-hand bat,Legbreak,Batsman
211854,"August 20, 1982, Brighton, Victoria",Left-hand bat,Right-arm medium,Batsman
26946,"May 31, 1986, Mohwa, Bhavnagar, Gujarat",Right-hand bat,Right-arm medium,
36130,"November 27, 1981, Delhi",Right-hand bat,Right-arm medium,Batsman
4451,"September 7, 1982, Launceston, Tasmania",Right-hand bat,Right-arm medium,Top-order batsman
236766,"October 8, 1987, Bikaner",Right-hand bat,Right-arm medium-fast,
33141,"September 23, 1985, Guntur, Andhra Pradesh",Right-hand bat,Right-arm offbreak,Middle-order batsman
219889,"October 27, 1986, Paddington, New South Wales",Left-hand bat,Legbreak,Opening batsman
16406,"February 12, 1980, Johannesburg, Transvaal, South Africa",Left-hand bat,Right-arm medium,Top-order batsman
27280,"December 27, 1984, Hisar, Haryana",Right-hand bat,,Wicketkeeper
8119,"October 4, 1979, Subiaco, Perth, Western Australia",Right-hand bat,Slow left-arm orthodox,Top-order batsman
31028,"February 9, 1984, Bhopal, Madhya Pradesh",Right-hand bat,Right-arm offbreak,Batsman
28671,"September 7, 1985, Nagpur, Maharashtra",Left-hand bat,Right-arm medium,Opening batsman
31001,"October 12, 1979, Jammu",Right-hand bat,Right-arm offbreak,Allrounder
32540,"January 25, 1988, Rajkot, Gujarat",Right-hand bat,Legbreak,Top-order batsman
20123,"October 22, 1978, Karachi, Sind, Pakistan",Right-hand bat,Right-arm offbreak,Batsman
28160,"November 19, 1984, Palampur, Himachal Pradesh",Right-hand bat,Legbreak,Batsman
290716,"March 26, 1985, Pune, Maharashtra",Right-hand bat,Right-arm offbreak,Batsman
26252,"August 2, 1980, Hyderabad, Andhra Pradesh",Left-hand bat,Right-arm medium,
333904,"November 7, 1987, Bombay (now Mumbai), Maharashtra",Right-hand bat,,Wicketkeeper
274926,"April 14, 1990, Chaguanas, Trinidad",Right-hand bat,Right-arm offbreak,Opening batsman
24598,"September 10, 1986, Dublin",Left-hand bat,Right-arm medium,Middle-order batsman
253798,"May 10, 1988, Visakhapatnam, Andhra Pradesh",Right-hand bat,Right-arm medium-fast,Middle-order batsman
34118,"February 21, 1976, Madras (now Chennai), Tamil Nadu",Left-hand bat,Slow left-arm orthodox,Middle-order batsman
27685,"January 27, 1983, Sagar, Shivmoga, Karantaka",Right-hand bat,Right-arm medium,Batsman
398438,"February 16, 1991, Bangalore, Karnataka",Right-hand bat,,Batsman
4498,"June 27, 1984, Shepparton, Victoria",Left-hand bat,Left-arm medium,Batsman
45782,"November 4, 1982, Klerksdorp, Transvaal",Right-hand bat,Right-arm medium,Wicketkeeper batsman
26798,"April 14, 1987, Madras (now Chennai), Tamil Nadu",Right-hand bat,,Top-order batsman
4292,"December 9, 1981, Sale, Victoria",Left-hand bat,Right-arm medium,Middle-order batsman
6161,"July 4, 1980, Kew, Melbourne, Victoria",Right-hand bat,,Batsman
324444,"April 18, 1988, Nagpur, Maharashtra, India",Right-hand bat,,Wicketkeeper batsman
5236,"November 21, 1984, North Adelaide, South Australia",Right-hand bat,Right-arm medium,Middle-order batsman
35282,"December 18, 1986, Bhiwani",Right-hand bat,Right-arm medium-fast,Batsman
279554,"January 27, 1989, Bacheli",Right-hand bat,Legbreak googly,Batsman
44828,"July 13, 1984, Pretoria",Right-hand bat,Legbreak,Middle-order batsman
7656,"October 18, 1961, Sydney, New South Wales",Right-hand bat,,
274785,"October 28, 1988, Rohtak",Right-hand bat,,
5583,"December 31, 1979, North Adelaide, South Australia",Right-hand bat,Right-arm medium,
321777,"June 10, 1989, Pietermaritzburg, Natal",Left-hand bat,Right-arm offbreak,Middle-order batsman
31750,"April 30, 1984, Chandannagore, Hooghly, Bengal, India",Right-hand bat,Legbreak googly,
46148,"January 14, 1988, Johannesburg",Right-hand bat,Right-arm medium,Opening batsman
446499,"March 26, 1993, Delhi",Right-hand bat,Right-arm offbreak,Top-order batsman
425943,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",Right-hand bat,,Wicketkeeper batsman
7547,"March 26, 1981, Bankstown, New South Wales",Left-hand bat,,Middle-order batsman
532856,"July 18, 1993, Chandigarh, Punjab",Right-hand bat,Right-arm medium,Opening batsman
390480,"September 12, 1990, Ahmedabad, Gujarat",Right-hand bat,Right-arm offbreak,
36071,"June 22, 1983, Banswara, Rajasthan",Left-hand bat,,Wicketkeeper
430125,"December 14, 1988, Cuttack, Orissa",Right-hand bat,,
302208,"March 8, 1986, Bangalore, Karnataka",Right-hand bat,,Wicketkeeper
319745,"February 15, 1986, Walajapet, Tamil Nadu",Right-hand bat,Legbreak googly,Batsman
398439,"December 6, 1991, Jodhpur, Rajasthan",Right-hand bat,Right-arm offbreak,Top-order batsman
422108,"April 18, 1992, Bangalore, Karnataka",Right-hand bat,,Opening batsman
379143,"December 17, 1992, Johannesburg, Gauteng",Left-hand bat,,Wicketkeeper batsman
35357,"November 5, 1984, Pune, Maharashtra",Right-hand bat,,
326637,"April 10, 1990, Brisbane, Queensland",Right-hand bat,Slow left-arm orthodox,Batsman
388678,"March 11, 1987, Innisfail, Queensland",Left-hand bat,Right-arm offbreak,Wicketkeeper batsman
318845,"October 9, 1989, Bloemfontein, Orange Free State",Left-hand bat,Right-arm offbreak,Top-order batsman
554699,"November 23, 1994, Jalna, Maharashtra",Left-hand bat,Right-arm offbreak,
333780,"December 21, 1991, Nowra, New South Wales",Left-hand bat,Slow left-arm orthodox,Opening batsman
642519,"December 6, 1994, Mumbai",Right-hand bat,Legbreak googly,Top-order batsman
642525,"October 27, 1997, Mumbai",Right-hand bat,Legbreak,Middle-order batsman
308967,"September 8, 1990, Taunton, Somerset",Right-hand bat,,Wicketkeeper batsman
931581,"October 4, 1997, Haridwar, Uttarakhand",Left-hand bat,,Wicketkeeper batsman
43906,"March 31, 1983, Durban, Natal",Right-hand bat,"Right-arm medium, Right-arm offbreak",Top-order batsman
215155,"December 18, 1986, Islamabad, Pakistan",Left-hand bat,Right-arm medium,Top-order batsman
297628,"June 15, 1991, Pembury, Kent",Right-hand bat,,Wicketkeeper batsman
226492,"September 30, 1986, Auckland",Right-hand bat,Right-arm offbreak,Opening batsman
720471,"July 18, 1998, Patna, Bihar",Left-hand bat,,Opening batsman
340841,"July 22, 1988, Allahabad",Right-hand bat,,Wicketkeeper
554700,"November 9, 1994, Savantwadi, Maharashtra",Right-hand bat,,Wicketkeeper batsman
500360,"May 10, 1993, Lucknow",Right-hand bat,Right-arm medium-fast,Middle-order batsman
44410,"October 9, 1983, Johannesburg",Right-hand bat,Right-arm fast-medium,Batting allrounder
298438,"July 21, 1990, Durban, South Africa",Right-hand bat,,Middle-order batsman
237696,"September 27, 1986, Bhavnagar, Saurashtra",Right-hand bat,,Wicketkeeper batsman
732293,"December 2, 1993,  Pathanamthitta, Kerala",Right-hand bat,,
431901,"December 27, 1991, Port of Spain, Trinidad",Left-hand bat,,Opening batsman
1070168,"November 9, 1999, Thane, Maharashtra",Right-hand bat,Right-arm offbreak,
1070173,"September 8, 1999, Fazilka, Punjab",Right-hand bat,Right-arm offbreak,Opening batsman
249866,"January 3, 1989, Hillingdon, Middlesex",Right-hand bat,Right-arm medium,Opening batsman
436757,"July 30, 1991, Pretoria, Transvaal",Right-hand bat,,Wicketkeeper batsman
723105,"October 12, 1997, Aligarh, Uttar Pradesh",Left-hand bat,Right-arm offbreak,
297433,"September 26, 1989, Bradford, Yorkshire",Right-hand bat,Right-arm medium,Wicketkeeper batsman
45705,"July 3, 1985, Port Elizabeth",Left-hand bat,Legbreak,Top-order batsman
604302,"October 2, 1995, Trinidad",Left-hand bat,,Wicketkeeper batsman
670025,"December 26, 1996, Cumberland, Berbice, Guyana",Left-hand bat,Legbreak googly,Top-order batsman
1159712,"October 25, 2002",Right-hand bat,Legbreak googly,
1161024,"August 10, 2000",Right-hand bat,,Wicketkeeper batsman
422342,"May 23, 1992, Mumbai",Right-hand bat,Right-arm offbreak,Middle-order batsman
